projection_dim,seed,mean_abs_relative_distance_distortion,p95_abs_relative_distance_distortion,projected_norm_threshold,projected_violation_recall,projected_normal_false_positive_rate,coordinate_oracle_recall,coordinate_oracle_false_positive_rate
16,20276740,0.14141398941887715,0.35424430909433285,3.09363833881828,0.084,0.005,1.0,0.0
16,20276741,0.1406868085599376,0.3390693292850981,3.057311865860131,0.078,0.005,1.0,0.0
16,20276742,0.1463080068528544,0.33748087091719237,3.0153465629003993,0.073,0.005,1.0,0.0
16,20276743,0.15024780306050703,0.3625875755556609,2.930804291264271,0.098,0.005,1.0,0.0
16,20276744,0.14040260635317361,0.33538754350320077,2.9757415131623155,0.076,0.005,1.0,0.0
16,20276745,0.13634297425182645,0.32799375888469395,3.0527992774768853,0.075,0.005,1.0,0.0
16,20276746,0.15561494602331707,0.4048813748698944,3.1984047051563467,0.083,0.005,1.0,0.0
16,20276747,0.14841025010581,0.35701032930152427,3.1250771128539796,0.039,0.005,1.0,0.0
16,20276748,0.13782170933092397,0.32908076058520036,3.0033878373132143,0.072,0.005,1.0,0.0
16,20276749,0.13574955209567405,0.3320896593074754,3.021659285019344,0.082,0.005,1.0,0.0
32,20292730,0.1116984700600016,0.2517108846156816,2.7670758855867796,0.103,0.005,1.0,0.0
32,20292731,0.09540101112928585,0.22375331593932882,2.797383911584698,0.068,0.005,1.0,0.0
32,20292732,0.09909626890385914,0.2193610849778109,2.759932671875523,0.13,0.005,1.0,0.0
32,20292733,0.09382968857743275,0.23258244115659027,2.8437603940707756,0.092,0.005,1.0,0.0
32,20292734,0.10266669265291821,0.2418946131475595,2.7552757577172464,0.159,0.005,1.0,0.0
32,20292735,0.09893727252557777,0.23319803525478688,2.7744010868388735,0.108,0.005,1.0,0.0
32,20292736,0.09474393118705432,0.24059772713525265,2.8592074130329426,0.083,0.005,1.0,0.0
32,20292737,0.09808648028054907,0.22922028713444448,2.8208699909818025,0.097,0.005,1.0,0.0
32,20292738,0.09381014914952622,0.2216506342609916,2.7717297859628944,0.116,0.005,1.0,0.0
32,20292739,0.09830236762869812,0.23043650919313866,2.781169750066465,0.102,0.005,1.0,0.0
32,20292740,0.09809105025716792,0.268790040967267,2.8386262773727826,0.15,0.005,1.0,0.0
32,20292741,0.10018691143321862,0.2384943793853576,2.8492875505323676,0.108,0.005,1.0,0.0
32,20292742,0.11018974319850475,0.2683396792417261,2.8267583678304775,0.134,0.005,1.0,0.0
32,20292743,0.09751223810472814,0.2369645845765184,2.808206798082048,0.1,0.005,1.0,0.0
32,20292744,0.09834555412483066,0.2509891911953753,2.829214062898671,0.117,0.005,1.0,0.0
32,20292745,0.09918911741647085,0.24809667097186205,2.672578494922706,0.159,0.005,1.0,0.0
32,20292746,0.09369147922508152,0.22825382470877364,2.928338747275423,0.07,0.005,1.0,0.0
32,20292747,0.09561878564552322,0.24203062558844154,2.9243874782495505,0.099,0.005,1.0,0.0
32,20292748,0.09350498707174569,0.20562949289088167,2.8292706179648413,0.104,0.005,1.0,0.0
32,20292749,0.09278024452866865,0.21944916843439455,2.767968164516702,0.158,0.005,1.0,0.0
