hold_strength,delay,policy,seed,turns,moves,stale_conflicts,mean_phase_error,p95_phase_error,mean_extra_hold,full_board,blue_win,yellow_win
0,3,blind_delay,2026103203,86,49,37,1.2923429578687058,2.7478859984002737,0.0,True,False,True
0,3,queue_aware,2026103203,49,49,0,1.1128864370835516,2.224293995296813,0.0,True,False,True
0,3,blind_delay,2026103204,90,49,41,1.2438529999941852,2.5959858496239736,0.0,True,False,True
0,3,queue_aware,2026103204,49,49,0,1.2122049480584676,2.6062808500091537,0.0,True,True,False
0,3,blind_delay,2026103205,88,49,39,1.066131945004718,2.370592620327793,0.0,True,False,True
0,3,queue_aware,2026103205,49,49,0,0.9865277774782037,2.3762454080437165,0.0,True,False,True
0,3,blind_delay,2026103206,97,49,48,1.1997456754265692,2.794566487193381,0.0,True,True,False
0,3,queue_aware,2026103206,49,49,0,1.1293497372373138,2.457731515228581,0.0,True,True,False
0,3,blind_delay,2026103207,97,49,48,1.1703659140983937,2.6735864413913473,0.0,True,True,False
0,3,queue_aware,2026103207,49,49,0,0.9990360626713762,2.22892408278855,0.0,True,False,True
0,3,blind_delay,2026103208,97,49,48,1.0927894698273217,2.315740743625993,0.0,True,True,False
0,3,queue_aware,2026103208,49,49,0,1.0650475367620602,2.696793120918622,0.0,True,False,True
0,3,blind_delay,2026103209,89,49,40,1.2755628272511756,2.6746291363341563,0.0,True,True,False
0,3,queue_aware,2026103209,49,49,0,1.1515087148392185,2.7145562621433443,0.0,True,True,False
0,3,blind_delay,2026103210,89,49,40,1.2039629903585989,2.9161555305654288,0.0,True,True,False
0,3,queue_aware,2026103210,49,49,0,1.1828188372777022,3.010869504036099,0.0,True,False,True
0,3,blind_delay,2026103211,89,49,40,1.1582701629303787,2.5396796555381833,0.0,True,True,False
0,3,queue_aware,2026103211,49,49,0,1.0759369898949689,2.8225303436417053,0.0,True,True,False
0,3,blind_delay,2026103212,92,49,43,1.351082837148933,3.0825188685577705,0.0,True,False,True
0,3,queue_aware,2026103212,49,49,0,1.2264256993211637,2.970690886584055,0.0,True,True,False
0,3,blind_delay,2026103213,89,49,40,1.3268853980183755,2.9710204418499857,0.0,True,True,False
0,3,queue_aware,2026103213,49,49,0,1.198511513367175,2.796629301989358,0.0,True,False,True
0,3,blind_delay,2026103214,92,49,43,1.116409220241429,2.7601148773710182,0.0,True,False,True
0,3,queue_aware,2026103214,49,49,0,1.1380587801335766,2.6775995817545546,0.0,True,False,True
0,5,blind_delay,2026123200,91,49,42,1.1066073074208271,2.6105908445321693,0.0,True,True,False
0,5,queue_aware,2026123200,49,49,0,1.074285232418096,2.6590567696290486,0.0,True,False,True
0,5,blind_delay,2026123201,92,49,43,1.3200589533506153,2.8291499791841743,0.0,True,False,True
0,5,queue_aware,2026123201,49,49,0,1.1272562079340465,2.574788307746698,0.0,True,True,False
0,5,blind_delay,2026123202,95,49,46,1.182875726516629,2.7420159584376824,0.0,True,True,False
0,5,queue_aware,2026123202,49,49,0,1.1448710844926777,2.47054294605047,0.0,True,True,False
0,5,blind_delay,2026123203,87,49,38,1.170712426232668,2.5362203393937013,0.0,True,True,False
0,5,queue_aware,2026123203,49,49,0,1.0245168956773643,2.308771962014638,0.0,True,True,False
0,5,blind_delay,2026123204,97,49,48,1.209111776981044,2.836486496774893,0.0,True,True,False
0,5,queue_aware,2026123204,49,49,0,1.240638882533045,2.8330506967177875,0.0,True,False,True
0,5,blind_delay,2026123205,97,49,48,1.2911049960785865,2.8060740950959016,0.0,True,True,False
0,5,queue_aware,2026123205,49,49,0,1.2064391399694512,2.796546018201385,0.0,True,True,False
0,5,blind_delay,2026123206,87,49,38,1.1904082935351434,2.652580891439724,0.0,True,False,True
0,5,queue_aware,2026123206,49,49,0,1.2533887440785003,2.7491358771139462,0.0,True,False,True
0,5,blind_delay,2026123207,97,49,48,1.159500937807001,2.899395659894935,0.0,True,True,False
0,5,queue_aware,2026123207,49,49,0,1.1414856089804437,2.5999236125114957,0.0,True,True,False
0,5,blind_delay,2026123208,97,49,48,1.0861829439278758,2.713733743512936,0.0,True,True,False
0,5,queue_aware,2026123208,49,49,0,1.0241788196869992,2.52955821374544,0.0,True,False,True
0,5,blind_delay,2026123209,97,49,48,1.2395211978455125,2.8110844496413407,0.0,True,True,False
0,5,queue_aware,2026123209,49,49,0,1.2359940451547293,2.802124400623348,0.0,True,True,False
0,5,blind_delay,2026123210,92,49,43,0.9925697644768282,2.5325679153469443,0.0,True,False,True
0,5,queue_aware,2026123210,49,49,0,0.9997536779352478,2.6133826450887683,0.0,True,True,False
0,5,blind_delay,2026123211,91,49,42,1.2046790818975162,3.0187108439204704,0.0,True,True,False
