delay,background_rate,policy,seed,agents,rounds,capacity_per_agent,useful_expected,useful_processed,useful_fresh,useful_stale,useful_delivery_rate,useful_fresh_rate,stale_useful_rate,background_processed,mean_useful_wait,mean_backlog,max_backlog
0,1.0,fifo_blind,2026173906,12,180,2,4320,2887,53,2834,0.6682870370370371,0.018358157256667822,0.9816418427433322,1409,30.463110495323864,1102.3833333333334,2193
0,1.0,priority_deduplicating,2026173906,12,180,2,4320,4296,4296,0,0.9944444444444445,1.0,0.0,0,1.0,1102.3833333333334,2193
0,1.0,fifo_blind,2026173907,12,180,2,4320,2880,56,2824,0.6666666666666666,0.019444444444444445,0.9805555555555555,1416,30.207638888888887,1112.3333333333333,2198
0,1.0,priority_deduplicating,2026173907,12,180,2,4320,4296,4296,0,0.9944444444444445,1.0,0.0,0,1.0,1112.3333333333333,2198
0,1.0,fifo_blind,2026173908,12,180,2,4320,2855,50,2805,0.6608796296296297,0.017513134851138354,0.9824868651488616,1441,31.023467600700524,1134.25,2243
0,1.0,priority_deduplicating,2026173908,12,180,2,4320,4296,4296,0,0.9944444444444445,1.0,0.0,0,1.0,1134.25,2243
0,1.0,fifo_blind,2026173909,12,180,2,4320,2903,61,2842,0.6719907407407407,0.021012745435756115,0.9789872545642438,1393,29.11470892180503,1073.3722222222223,2168
0,1.0,priority_deduplicating,2026173909,12,180,2,4320,4296,4296,0,0.9944444444444445,1.0,0.0,0,1.0,1073.3722222222223,2168
0,1.0,fifo_blind,2026173910,12,180,2,4320,2882,52,2830,0.6671296296296296,0.018043025676613464,0.9819569743233866,1414,30.244274809160306,1093.6666666666667,2145
0,1.0,priority_deduplicating,2026173910,12,180,2,4320,4296,4296,0,0.9944444444444445,1.0,0.0,0,1.0,1093.6666666666667,2145
0,1.0,fifo_blind,2026173911,12,180,2,4320,2880,55,2825,0.6666666666666666,0.019097222222222224,0.9809027777777778,1416,29.90659722222222,1091.9833333333333,2148
0,1.0,priority_deduplicating,2026173911,12,180,2,4320,4296,4296,0,0.9944444444444445,1.0,0.0,0,1.0,1091.9833333333333,2148
0,1.0,fifo_blind,2026173912,12,180,2,4320,2870,51,2819,0.6643518518518519,0.017770034843205575,0.9822299651567944,1426,29.57979094076655,1093.2888888888888,2177
0,1.0,priority_deduplicating,2026173912,12,180,2,4320,4296,4296,0,0.9944444444444445,1.0,0.0,0,1.0,1093.2888888888888,2177
0,1.0,fifo_blind,2026173913,12,180,2,4320,2854,55,2799,0.6606481481481481,0.019271198318149965,0.9807288016818501,1442,30.379117028731606,1116.4833333333333,2189
0,1.0,priority_deduplicating,2026173913,12,180,2,4320,4296,4296,0,0.9944444444444445,1.0,0.0,0,1.0,1116.4833333333333,2189
0,1.0,fifo_blind,2026173914,12,180,2,4320,2893,46,2847,0.669675925925926,0.015900449360525405,0.9840995506394746,1403,30.47182855167646,1100.8722222222223,2170
0,1.0,priority_deduplicating,2026173914,12,180,2,4320,4296,4296,0,0.9944444444444445,1.0,0.0,0,1.0,1100.8722222222223,2170
0,1.0,fifo_blind,2026173915,12,180,2,4320,2822,54,2768,0.6532407407407408,0.01913536498936924,0.9808646350106307,1474,32.05988660524451,1162.4777777777779,2218
0,1.0,priority_deduplicating,2026173915,12,180,2,4320,4296,4296,0,0.9944444444444445,1.0,0.0,0,1.0,1162.4777777777779,2218
0,1.0,fifo_blind,2026173916,12,180,2,4320,2884,58,2826,0.6675925925925926,0.02011095700416089,0.9798890429958391,1412,30.2250346740638,1089.1333333333334,2145
0,1.0,priority_deduplicating,2026173916,12,180,2,4320,4296,4296,0,0.9944444444444445,1.0,0.0,0,1.0,1089.1333333333334,2145
0,1.0,fifo_blind,2026173917,12,180,2,4320,2823,43,2780,0.6534722222222222,0.015232022670917464,0.9847679773290825,1473,33.16365568544102,1190.3777777777777,2253
