topology,delay,policy,seed,agents,rounds,mean_spectral_edge,mean_loop_residual,mean_receipt_age,mean_disagreement
ring,5,queue_aware,2026123804,24,120,0.0,0.23529411764705888,0.0,0.3958646144549107
ring,5,blind_delay,2026123805,24,120,1.4503016459925278,0.05015025961162795,3.9166666666666665,0.29400319133819885
ring,5,queue_aware,2026123805,24,120,0.0,0.23529411764705888,0.0,0.38836593040669104
ring,5,blind_delay,2026123806,24,120,1.4503016459925278,0.05015025961162795,3.9166666666666665,0.2696720061863659
ring,5,queue_aware,2026123806,24,120,0.0,0.23529411764705888,0.0,0.3849712343181949
ring,5,blind_delay,2026123807,24,120,1.4503016459925278,0.05015025961162795,3.9166666666666665,0.26067002077378115
ring,5,queue_aware,2026123807,24,120,0.0,0.23529411764705888,0.0,0.3634204262661168
ring,5,blind_delay,2026123808,24,120,1.4503016459925278,0.05015025961162795,3.9166666666666665,0.3057164320870465
ring,5,queue_aware,2026123808,24,120,0.0,0.23529411764705888,0.0,0.3961492122413686
ring,5,blind_delay,2026123809,24,120,1.4503016459925278,0.05015025961162795,3.9166666666666665,0.26075126601328924
ring,5,queue_aware,2026123809,24,120,0.0,0.23529411764705888,0.0,0.362526075711042
ring,5,blind_delay,2026123810,24,120,1.4503016459925278,0.05015025961162795,3.9166666666666665,0.29215577889489325
ring,5,queue_aware,2026123810,24,120,0.0,0.23529411764705888,0.0,0.39131131724693785
ring,5,blind_delay,2026123811,24,120,1.4503016459925278,0.05015025961162795,3.9166666666666665,0.26137229411429846
ring,5,queue_aware,2026123811,24,120,0.0,0.23529411764705888,0.0,0.36130163312161573
ring,5,blind_delay,2026123812,24,120,1.4503016459925278,0.05015025961162795,3.9166666666666665,0.2943653984890492
ring,5,queue_aware,2026123812,24,120,0.0,0.23529411764705888,0.0,0.3830296818522158
ring,5,blind_delay,2026123813,24,120,1.4503016459925278,0.05015025961162795,3.9166666666666665,0.28513264075061734
ring,5,queue_aware,2026123813,24,120,0.0,0.23529411764705888,0.0,0.3792661461962439
ring,5,blind_delay,2026123814,24,120,1.4503016459925278,0.05015025961162795,3.9166666666666665,0.2967737647564924
ring,5,queue_aware,2026123814,24,120,0.0,0.23529411764705888,0.0,0.39375516787004966
random_4_regular,0,blind_delay,2026173800,24,120,0.0,0.23529411764705888,0.0,0.0905907997699711
random_4_regular,0,queue_aware,2026173800,24,120,0.0,0.23529411764705888,0.0,0.0905907997699711
random_4_regular,0,blind_delay,2026173801,24,120,0.0,0.23529411764705888,0.0,0.09203780541790803
random_4_regular,0,queue_aware,2026173801,24,120,0.0,0.23529411764705888,0.0,0.09203780541790803
random_4_regular,0,blind_delay,2026173802,24,120,0.0,0.23529411764705888,0.0,0.10995320466682842
random_4_regular,0,queue_aware,2026173802,24,120,0.0,0.23529411764705888,0.0,0.10995320466682842
random_4_regular,0,blind_delay,2026173803,24,120,0.0,0.23529411764705888,0.0,0.09162009942099812
random_4_regular,0,queue_aware,2026173803,24,120,0.0,0.23529411764705888,0.0,0.09162009942099812
random_4_regular,0,blind_delay,2026173804,24,120,0.0,0.23529411764705888,0.0,0.07525836391907686
random_4_regular,0,queue_aware,2026173804,24,120,0.0,0.23529411764705888,0.0,0.07525836391907686
random_4_regular,0,blind_delay,2026173805,24,120,0.0,0.23529411764705888,0.0,0.095357601628624
random_4_regular,0,queue_aware,2026173805,24,120,0.0,0.23529411764705888,0.0,0.095357601628624
random_4_regular,0,blind_delay,2026173806,24,120,0.0,0.23529411764705888,0.0,0.08704006639788268
random_4_regular,0,queue_aware,2026173806,24,120,0.0,0.23529411764705888,0.0,0.08704006639788268
random_4_regular,0,blind_delay,2026173807,24,120,0.0,0.23529411764705888,0.0,0.08694905132544921
random_4_regular,0,queue_aware,2026173807,24,120,0.0,0.23529411764705888,0.0,0.08694905132544921
random_4_regular,0,blind_delay,2026173808,24,120,0.0,0.23529411764705888,0.0,0.08068120959990287
random_4_regular,0,queue_aware,2026173808,24,120,0.0,0.23529411764705888,0.0,0.08068120959990287
random_4_regular,0,blind_delay,2026173809,24,120,0.0,0.23529411764705888,0.0,0.10174434587323153
random_4_regular,0,queue_aware,2026173809,24,120,0.0,0.23529411764705888,0.0,0.10174434587323153
random_4_regular,0,blind_delay,2026173810,24,120,0.0,0.23529411764705888,0.0,0.09500992075831136
random_4_regular,0,queue_aware,2026173810,24,120,0.0,0.23529411764705888,0.0,0.09500992075831136
random_4_regular,0,blind_delay,2026173811,24,120,0.0,0.23529411764705888,0.0,0.09170392955962386
random_4_regular,0,queue_aware,2026173811,24,120,0.0,0.23529411764705888,0.0,0.09170392955962386
random_4_regular,0,blind_delay,2026173812,24,120,0.0,0.23529411764705888,0.0,0.08031249001460793
random_4_regular,0,queue_aware,2026173812,24,120,0.0,0.23529411764705888,0.0,0.08031249001460793
random_4_regular,0,blind_delay,2026173813,24,120,0.0,0.23529411764705888,0.0,0.08557272858966757
random_4_regular,0,queue_aware,2026173813,24,120,0.0,0.23529411764705888,0.0,0.08557272858966757
random_4_regular,0,blind_delay,2026173814,24,120,0.0,0.23529411764705888,0.0,0.12656629352768975
random_4_regular,0,queue_aware,2026173814,24,120,0.0,0.23529411764705888,0.0,0.12656629352768975
random_4_regular,1,blind_delay,2026183800,24,120,0.0,0.23529411764705888,0.0,0.06467438301191841
random_4_regular,1,queue_aware,2026183800,24,120,0.0,0.23529411764705888,0.0,0.06467438301191841
random_4_regular,1,blind_delay,2026183801,24,120,0.0,0.23529411764705888,0.0,0.0761331893260742
random_4_regular,1,queue_aware,2026183801,24,120,0.0,0.23529411764705888,0.0,0.0761331893260742
random_4_regular,1,blind_delay,2026183802,24,120,0.0,0.23529411764705888,0.0,0.07274292859344984
random_4_regular,1,queue_aware,2026183802,24,120,0.0,0.23529411764705888,0.0,0.07274292859344984
random_4_regular,1,blind_delay,2026183803,24,120,0.0,0.23529411764705888,0.0,0.08346245228440191
random_4_regular,1,queue_aware,2026183803,24,120,0.0,0.23529411764705888,0.0,0.08346245228440191
random_4_regular,1,blind_delay,2026183804,24,120,0.0,0.23529411764705888,0.0,0.09166397911926626
random_4_regular,1,queue_aware,2026183804,24,120,0.0,0.23529411764705888,0.0,0.09166397911926626
random_4_regular,1,blind_delay,2026183805,24,120,0.0,0.23529411764705888,0.0,0.08302796741671635
