delay,policy,seed,agents,rounds,mean_spectral_edge,p95_spectral_edge,mean_abs_spectral_edge,mean_loop_residual,p95_loop_residual,mean_resolvent_norm,mean_single_entry_delta_m,mean_stability_proxy,mean_delta_to_proxy_ratio,mean_derivative_relative_error,mean_receipt_age,mean_disagreement,max_disagreement,spectral_edge_exceedance_rate,state_overshoot_count,high_age_tail,high_loop_tail,high_disagreement_tail
2,queue_aware,2026093620,24,180,0.0,0.0,0.0,0.23529411764705885,0.23529411764705888,0.48507125007266605,0.0,0.0,0.0,0.0,0.0,0.34901465072649257,0.6618216139488354,0.0,0,0,1,0
2,blind_delay,2026093621,24,180,1.454364115589145,1.4624890547823803,1.454364115589145,0.04963164936503011,0.048594428871834426,0.609583032206351,0.0002689028823939539,0.0461380664542255,0.005795842739900405,8.514328338410204e-05,0.9944444444444445,0.24786239555615142,0.4664971126700674,0.0,0,0,0,0
2,queue_aware,2026093621,24,180,0.0,0.0,0.0,0.23529411764705885,0.23529411764705888,0.48507125007266605,0.0,0.0,0.0,0.0,0.0,0.35091214934222636,0.5999271403379128,0.0,0,0,1,0
2,blind_delay,2026093622,24,180,1.454364115589145,1.4624890547823803,1.454364115589145,0.04963164936503011,0.048594428871834426,0.609583032206351,0.0002689028823939539,0.0461380664542255,0.005795842739900405,8.514328338410204e-05,0.9944444444444445,0.2497549936729694,0.5737066461176717,0.0,0,0,0,0
2,queue_aware,2026093622,24,180,0.0,0.0,0.0,0.23529411764705885,0.23529411764705888,0.48507125007266605,0.0,0.0,0.0,0.0,0.0,0.35633838728901573,0.7527298838997102,0.0,0,0,1,0
2,blind_delay,2026093623,24,180,1.454364115589145,1.4624890547823803,1.454364115589145,0.04963164936503011,0.048594428871834426,0.609583032206351,0.0002689028823939539,0.0461380664542255,0.005795842739900405,8.514328338410204e-05,0.9944444444444445,0.2481335889981821,0.5086281807590008,0.0,0,0,0,0
2,queue_aware,2026093623,24,180,0.0,0.0,0.0,0.23529411764705885,0.23529411764705888,0.48507125007266605,0.0,0.0,0.0,0.0,0.0,0.35758158129911777,0.6621455249193808,0.0,0,0,1,0
2,blind_delay,2026093624,24,180,1.454364115589145,1.4624890547823803,1.454364115589145,0.04963164936503011,0.048594428871834426,0.609583032206351,0.0002689028823939539,0.0461380664542255,0.005795842739900405,8.514328338410204e-05,0.9944444444444445,0.2662652906846624,0.6314500614230966,0.0,0,0,0,0
2,queue_aware,2026093624,24,180,0.0,0.0,0.0,0.23529411764705885,0.23529411764705888,0.48507125007266605,0.0,0.0,0.0,0.0,0.0,0.3681114118263486,0.8102430394568976,0.0,0,0,1,0
2,blind_delay,2026093625,24,180,1.454364115589145,1.4624890547823803,1.454364115589145,0.04963164936503011,0.048594428871834426,0.609583032206351,0.0002689028823939539,0.0461380664542255,0.005795842739900405,8.514328338410204e-05,0.9944444444444445,0.23813880493083725,0.4360121308085076,0.0,0,0,0,0
2,queue_aware,2026093625,24,180,0.0,0.0,0.0,0.23529411764705885,0.23529411764705888,0.48507125007266605,0.0,0.0,0.0,0.0,0.0,0.345963404744688,0.5731522916796198,0.0,0,0,1,0
2,blind_delay,2026093626,24,180,1.454364115589145,1.4624890547823803,1.454364115589145,0.04963164936503011,0.048594428871834426,0.609583032206351,0.0002689028823939539,0.0461380664542255,0.005795842739900405,8.514328338410204e-05,0.9944444444444445,0.25642786502266235,0.5865795716436667,0.0,0,0,0,0
2,queue_aware,2026093626,24,180,0.0,0.0,0.0,0.23529411764705885,0.23529411764705888,0.48507125007266605,0.0,0.0,0.0,0.0,0.0,0.3593401755758554,0.7588252194745149,0.0,0,0,1,0
2,blind_delay,2026093627,24,180,1.454364115589145,1.4624890547823803,1.454364115589145,0.04963164936503011,0.048594428871834426,0.609583032206351,0.0002689028823939539,0.0461380664542255,0.005795842739900405,8.514328338410204e-05,0.9944444444444445,0.2564466047105739,0.5904379656664058,0.0,0,0,0,0
2,queue_aware,2026093627,24,180,0.0,0.0,0.0,0.23529411764705885,0.23529411764705888,0.48507125007266605,0.0,0.0,0.0,0.0,0.0,0.36666956790568184,0.7754252244457923,0.0,0,0,1,0
2,blind_delay,2026093628,24,180,1.454364115589145,1.4624890547823803,1.454364115589145,0.04963164936503011,0.048594428871834426,0.609583032206351,0.0002689028823939539,0.0461380664542255,0.005795842739900405,8.514328338410204e-05,0.9944444444444445,0.2607484923101415,0.6226847325474912,0.0,0,0,0,0
2,queue_aware,2026093628,24,180,0.0,0.0,0.0,0.23529411764705885,0.23529411764705888,0.48507125007266605,0.0,0.0,0.0,0.0,0.0,0.36865738837982753,0.8150429563543153,0.0,0,0,1,1
2,blind_delay,2026093629,24,180,1.454364115589145,1.4624890547823803,1.454364115589145,0.04963164936503011,0.048594428871834426,0.609583032206351,0.0002689028823939539,0.0461380664542255,0.005795842739900405,8.514328338410204e-05,0.9944444444444445,0.2545811180056959,0.5944974871445498,0.0,0,0,0,0
2,queue_aware,2026093629,24,180,0.0,0.0,0.0,0.23529411764705885,0.23529411764705888,0.48507125007266605,0.0,0.0,0.0,0.0,0.0,0.3662498206175526,0.7861532129876734,0.0,0,0,1,0
3,blind_delay,2026103600,24,180,1.454364115589145,1.4624890547823803,1.454364115589145,0.04963164936503011,0.048594428871834426,0.609583032206351,0.0002689028823939539,0.0461380664542255,0.005795842739900405,8.514328338410204e-05,1.9833333333333334,0.20807653435556128,0.3762537374452073,0.0,0,0,0,0
