delay,policy,seed,agents,rounds,cooperation_rate,mean_payoff_per_action,stale_retaliations,forgiving_actions,defection_bursts
2,blind_tft,2026093507,12,200,1.0,3.0,0,0,0
2,queue_aware_forgiving,2026093507,12,200,1.0,3.0,0,48,0
2,blind_tft,2026093508,12,200,1.0,3.0,0,0,0
2,queue_aware_forgiving,2026093508,12,200,1.0,3.0,0,48,0
2,blind_tft,2026093509,12,200,1.0,3.0,0,0,0
2,queue_aware_forgiving,2026093509,12,200,1.0,3.0,0,48,0
2,blind_tft,2026093510,12,200,1.0,3.0,0,0,0
2,queue_aware_forgiving,2026093510,12,200,1.0,3.0,0,48,0
2,blind_tft,2026093511,12,200,1.0,3.0,0,0,0
2,queue_aware_forgiving,2026093511,12,200,1.0,3.0,0,48,0
2,blind_tft,2026093512,12,200,1.0,3.0,0,0,0
2,queue_aware_forgiving,2026093512,12,200,1.0,3.0,0,48,0
2,blind_tft,2026093513,12,200,1.0,3.0,0,0,0
2,queue_aware_forgiving,2026093513,12,200,1.0,3.0,0,48,0
2,blind_tft,2026093514,12,200,1.0,3.0,0,0,0
2,queue_aware_forgiving,2026093514,12,200,1.0,3.0,0,48,0
2,blind_tft,2026093515,12,200,1.0,3.0,0,0,0
2,queue_aware_forgiving,2026093515,12,200,1.0,3.0,0,48,0
2,blind_tft,2026093516,12,200,1.0,3.0,0,0,0
2,queue_aware_forgiving,2026093516,12,200,1.0,3.0,0,48,0
2,blind_tft,2026093517,12,200,1.0,3.0,0,0,0
2,queue_aware_forgiving,2026093517,12,200,1.0,3.0,0,48,0
2,blind_tft,2026093518,12,200,1.0,3.0,0,0,0
2,queue_aware_forgiving,2026093518,12,200,1.0,3.0,0,48,0
2,blind_tft,2026093519,12,200,1.0,3.0,0,0,0
2,queue_aware_forgiving,2026093519,12,200,1.0,3.0,0,48,0
2,blind_tft,2026093520,12,200,1.0,3.0,0,0,0
2,queue_aware_forgiving,2026093520,12,200,1.0,3.0,0,48,0
2,blind_tft,2026093521,12,200,1.0,3.0,0,0,0
2,queue_aware_forgiving,2026093521,12,200,1.0,3.0,0,48,0
2,blind_tft,2026093522,12,200,1.0,3.0,0,0,0
2,queue_aware_forgiving,2026093522,12,200,1.0,3.0,0,48,0
2,blind_tft,2026093523,12,200,1.0,3.0,0,0,0
2,queue_aware_forgiving,2026093523,12,200,1.0,3.0,0,48,0
2,blind_tft,2026093524,12,200,1.0,3.0,0,0,0
2,queue_aware_forgiving,2026093524,12,200,1.0,3.0,0,48,0
2,blind_tft,2026093525,12,200,1.0,3.0,0,0,0
2,queue_aware_forgiving,2026093525,12,200,1.0,3.0,0,48,0
2,blind_tft,2026093526,12,200,1.0,3.0,0,0,0
2,queue_aware_forgiving,2026093526,12,200,1.0,3.0,0,48,0
2,blind_tft,2026093527,12,200,1.0,3.0,0,0,0
2,queue_aware_forgiving,2026093527,12,200,1.0,3.0,0,48,0
2,blind_tft,2026093528,12,200,1.0,3.0,0,0,0
2,queue_aware_forgiving,2026093528,12,200,1.0,3.0,0,48,0
2,blind_tft,2026093529,12,200,1.0,3.0,0,0,0
2,queue_aware_forgiving,2026093529,12,200,1.0,3.0,0,48,0
2,blind_tft,2026093530,12,200,1.0,3.0,0,0,0
2,queue_aware_forgiving,2026093530,12,200,1.0,3.0,0,48,0
2,blind_tft,2026093531,12,200,1.0,3.0,0,0,0
2,queue_aware_forgiving,2026093531,12,200,1.0,3.0,0,48,0
2,blind_tft,2026093532,12,200,1.0,3.0,0,0,0
2,queue_aware_forgiving,2026093532,12,200,1.0,3.0,0,48,0
2,blind_tft,2026093533,12,200,1.0,3.0,0,0,0
2,queue_aware_forgiving,2026093533,12,200,1.0,3.0,0,48,0
2,blind_tft,2026093534,12,200,1.0,3.0,0,0,0
2,queue_aware_forgiving,2026093534,12,200,1.0,3.0,0,48,0
2,blind_tft,2026093535,12,200,1.0,3.0,0,0,0
2,queue_aware_forgiving,2026093535,12,200,1.0,3.0,0,48,0
2,blind_tft,2026093536,12,200,1.0,3.0,0,0,0
2,queue_aware_forgiving,2026093536,12,200,1.0,3.0,0,48,0
2,blind_tft,2026093537,12,200,1.0,3.0,0,0,0
2,queue_aware_forgiving,2026093537,12,200,1.0,3.0,0,48,0
2,blind_tft,2026093538,12,200,1.0,3.0,0,0,0
2,queue_aware_forgiving,2026093538,12,200,1.0,3.0,0,48,0
2,blind_tft,2026093539,12,200,1.0,3.0,0,0,0
2,queue_aware_forgiving,2026093539,12,200,1.0,3.0,0,48,0
3,blind_tft,2026103500,12,200,1.0,3.0,0,0,0
3,queue_aware_forgiving,2026103500,12,200,1.0,3.0,0,72,0
3,blind_tft,2026103501,12,200,1.0,3.0,0,0,0
3,queue_aware_forgiving,2026103501,12,200,1.0,3.0,0,72,0
3,blind_tft,2026103502,12,200,1.0,3.0,0,0,0
3,queue_aware_forgiving,2026103502,12,200,1.0,3.0,0,72,0
3,blind_tft,2026103503,12,200,1.0,3.0,0,0,0
3,queue_aware_forgiving,2026103503,12,200,1.0,3.0,0,72,0
3,blind_tft,2026103504,12,200,1.0,3.0,0,0,0
3,queue_aware_forgiving,2026103504,12,200,1.0,3.0,0,72,0
3,blind_tft,2026103505,12,200,1.0,3.0,0,0,0
3,queue_aware_forgiving,2026103505,12,200,1.0,3.0,0,72,0
3,blind_tft,2026103506,12,200,1.0,3.0,0,0,0
3,queue_aware_forgiving,2026103506,12,200,1.0,3.0,0,72,0
3,blind_tft,2026103507,12,200,1.0,3.0,0,0,0
3,queue_aware_forgiving,2026103507,12,200,1.0,3.0,0,72,0
3,blind_tft,2026103508,12,200,1.0,3.0,0,0,0
3,queue_aware_forgiving,2026103508,12,200,1.0,3.0,0,72,0
3,blind_tft,2026103509,12,200,1.0,3.0,0,0,0
3,queue_aware_forgiving,2026103509,12,200,1.0,3.0,0,72,0
3,blind_tft,2026103510,12,200,1.0,3.0,0,0,0
3,queue_aware_forgiving,2026103510,12,200,1.0,3.0,0,72,0
3,blind_tft,2026103511,12,200,1.0,3.0,0,0,0
3,queue_aware_forgiving,2026103511,12,200,1.0,3.0,0,72,0
3,blind_tft,2026103512,12,200,1.0,3.0,0,0,0
3,queue_aware_forgiving,2026103512,12,200,1.0,3.0,0,72,0
3,blind_tft,2026103513,12,200,1.0,3.0,0,0,0
3,queue_aware_forgiving,2026103513,12,200,1.0,3.0,0,72,0
3,blind_tft,2026103514,12,200,1.0,3.0,0,0,0
3,queue_aware_forgiving,2026103514,12,200,1.0,3.0,0,72,0
3,blind_tft,2026103515,12,200,1.0,3.0,0,0,0
3,queue_aware_forgiving,2026103515,12,200,1.0,3.0,0,72,0
3,blind_tft,2026103516,12,200,1.0,3.0,0,0,0
3,queue_aware_forgiving,2026103516,12,200,1.0,3.0,0,72,0
3,blind_tft,2026103517,12,200,1.0,3.0,0,0,0
3,queue_aware_forgiving,2026103517,12,200,1.0,3.0,0,72,0
3,blind_tft,2026103518,12,200,1.0,3.0,0,0,0
3,queue_aware_forgiving,2026103518,12,200,1.0,3.0,0,72,0
3,blind_tft,2026103519,12,200,1.0,3.0,0,0,0
3,queue_aware_forgiving,2026103519,12,200,1.0,3.0,0,72,0
3,blind_tft,2026103520,12,200,1.0,3.0,0,0,0
3,queue_aware_forgiving,2026103520,12,200,1.0,3.0,0,72,0
3,blind_tft,2026103521,12,200,1.0,3.0,0,0,0
3,queue_aware_forgiving,2026103521,12,200,1.0,3.0,0,72,0
3,blind_tft,2026103522,12,200,1.0,3.0,0,0,0
3,queue_aware_forgiving,2026103522,12,200,1.0,3.0,0,72,0
3,blind_tft,2026103523,12,200,1.0,3.0,0,0,0
3,queue_aware_forgiving,2026103523,12,200,1.0,3.0,0,72,0
3,blind_tft,2026103524,12,200,1.0,3.0,0,0,0
3,queue_aware_forgiving,2026103524,12,200,1.0,3.0,0,72,0
3,blind_tft,2026103525,12,200,1.0,3.0,0,0,0
3,queue_aware_forgiving,2026103525,12,200,1.0,3.0,0,72,0
3,blind_tft,2026103526,12,200,1.0,3.0,0,0,0
3,queue_aware_forgiving,2026103526,12,200,1.0,3.0,0,72,0
3,blind_tft,2026103527,12,200,1.0,3.0,0,0,0
3,queue_aware_forgiving,2026103527,12,200,1.0,3.0,0,72,0
3,blind_tft,2026103528,12,200,1.0,3.0,0,0,0
3,queue_aware_forgiving,2026103528,12,200,1.0,3.0,0,72,0
3,blind_tft,2026103529,12,200,1.0,3.0,0,0,0
3,queue_aware_forgiving,2026103529,12,200,1.0,3.0,0,72,0
3,blind_tft,2026103530,12,200,1.0,3.0,0,0,0
