policy,step,helicopter,pad,x,y,z,phase,clearance_issued,clearance_delivered,message_age,slot_start,slot_end,clearance_version,decision,accepted,stale_rejected,conflict_step
delay_blind,10,4,1,5.099667110793792,5.006653346024693,8.0,hold,26,27,0,28,40,5,waiting,0,0,0
delay_blind,10,5,2,4.23734353906573,7.832539228875918,8.0,hold,28,34,0,30,42,6,waiting,0,0,0
delay_blind,10,6,0,4.993346653975306,1.099667110793792,8.0,hold,38,40,0,40,52,7,waiting,0,0,0
delay_blind,10,7,1,14.167460771124082,3.237343539065729,8.0,hold,40,45,0,42,54,8,waiting,0,0,0
delay_blind,11,0,0,8.766166680639706,6.9661498170727265,7.802871208238409,approach,10,11,1,12,24,1,accept_clearance,1,0,0
delay_blind,11,1,1,12.76265646093427,10.167460771124082,8.0,hold,12,17,0,14,26,2,waiting,0,0,0
delay_blind,11,2,2,6.006653346024694,16.900332889206208,8.0,hold,14,14,0,16,28,3,waiting,0,0,0
delay_blind,11,3,0,-0.1674607711240821,8.76265646093427,8.0,hold,24,28,0,26,38,4,waiting,0,0,0
delay_blind,11,4,1,5.099667110793792,5.006653346024693,8.0,hold,26,27,0,28,40,5,waiting,0,0,0
delay_blind,11,5,2,4.23734353906573,7.832539228875918,8.0,hold,28,34,0,30,42,6,waiting,0,0,0
delay_blind,11,6,0,4.993346653975306,1.099667110793792,8.0,hold,38,40,0,40,52,7,waiting,0,0,0
delay_blind,11,7,1,14.167460771124082,3.237343539065729,8.0,hold,40,45,0,42,54,8,waiting,0,0,0
delay_blind,12,0,0,8.632000472073205,6.938952980170147,7.605742416476819,approach,10,11,2,12,24,1,accept_clearance,1,0,0
delay_blind,12,1,1,12.76265646093427,10.167460771124082,8.0,hold,12,17,0,14,26,2,waiting,0,0,0
delay_blind,12,2,2,6.006653346024694,16.900332889206208,8.0,hold,14,14,0,16,28,3,waiting,0,0,0
delay_blind,12,3,0,-0.1674607711240821,8.76265646093427,8.0,hold,24,28,0,26,38,4,waiting,0,0,0
delay_blind,12,4,1,5.099667110793792,5.006653346024693,8.0,hold,26,27,0,28,40,5,waiting,0,0,0
delay_blind,12,5,2,4.23734353906573,7.832539228875918,8.0,hold,28,34,0,30,42,6,waiting,0,0,0
delay_blind,12,6,0,4.993346653975306,1.099667110793792,8.0,hold,38,40,0,40,52,7,waiting,0,0,0
delay_blind,12,7,1,14.167460771124082,3.237343539065729,8.0,hold,40,45,0,42,54,8,waiting,0,0,0
delay_blind,13,0,0,8.497834263506704,6.911756143267568,7.408613624715228,approach,10,11,3,12,24,1,accept_clearance,1,0,0
delay_blind,13,1,1,12.76265646093427,10.167460771124082,8.0,hold,12,17,1,14,26,2,waiting,0,0,0
delay_blind,13,2,2,6.006653346024694,16.900332889206208,8.0,hold,14,14,0,16,28,3,waiting,0,0,0
delay_blind,13,3,0,-0.1674607711240821,8.76265646093427,8.0,hold,24,28,0,26,38,4,waiting,0,0,0
delay_blind,13,4,1,5.099667110793792,5.006653346024693,8.0,hold,26,27,0,28,40,5,waiting,0,0,0
delay_blind,13,5,2,4.23734353906573,7.832539228875918,8.0,hold,28,34,0,30,42,6,waiting,0,0,0
delay_blind,13,6,0,4.993346653975306,1.099667110793792,8.0,hold,38,40,0,40,52,7,waiting,0,0,0
delay_blind,13,7,1,14.167460771124082,3.237343539065729,8.0,hold,40,45,0,42,54,8,waiting,0,0,0
delay_blind,14,0,0,8.363668054940202,6.884559306364989,7.211484832953637,approach,10,11,4,12,24,1,accept_clearance,1,0,0
delay_blind,14,1,1,12.76265646093427,10.167460771124082,8.0,hold,12,17,2,14,26,2,waiting,0,0,0
delay_blind,14,2,2,6.0338501829272735,16.766166680639706,7.802871208238409,approach,14,14,0,16,28,3,accept_clearance,1,0,0
delay_blind,14,3,0,-0.1674607711240821,8.76265646093427,8.0,hold,24,28,0,26,38,4,waiting,0,0,0
delay_blind,14,4,1,5.099667110793792,5.006653346024693,8.0,hold,26,27,0,28,40,5,waiting,0,0,0
delay_blind,14,5,2,4.23734353906573,7.832539228875918,8.0,hold,28,34,0,30,42,6,waiting,0,0,0
delay_blind,14,6,0,4.993346653975306,1.099667110793792,8.0,hold,38,40,0,40,52,7,waiting,0,0,0
delay_blind,14,7,1,14.167460771124082,3.237343539065729,8.0,hold,40,45,0,42,54,8,waiting,0,0,0
delay_blind,15,0,0,8.2295018463737,6.85736246946241,7.0143560411920465,approach,10,11,5,12,24,1,accept_clearance,1,0,0
delay_blind,15,1,1,12.76265646093427,10.167460771124082,8.0,hold,12,17,3,14,26,2,waiting,0,0,0
delay_blind,15,2,2,6.061047019829853,16.632000472073205,7.605742416476819,approach,14,14,1,16,28,3,accept_clearance,1,0,0
delay_blind,15,3,0,-0.1674607711240821,8.76265646093427,8.0,hold,24,28,0,26,38,4,waiting,0,0,0
delay_blind,15,4,1,5.099667110793792,5.006653346024693,8.0,hold,26,27,0,28,40,5,waiting,0,0,0
delay_blind,15,5,2,4.23734353906573,7.832539228875918,8.0,hold,28,34,0,30,42,6,waiting,0,0,0
delay_blind,15,6,0,4.993346653975306,1.099667110793792,8.0,hold,38,40,0,40,52,7,waiting,0,0,0
delay_blind,15,7,1,14.167460771124082,3.237343539065729,8.0,hold,40,45,0,42,54,8,waiting,0,0,0
delay_blind,16,0,0,8.0953356378072,6.83016563255983,6.817227249430456,approach,10,11,6,12,24,1,accept_clearance,1,0,0
delay_blind,16,1,1,12.76265646093427,10.167460771124082,8.0,hold,12,17,4,14,26,2,waiting,0,0,0
delay_blind,16,2,2,6.088243856732432,16.497834263506704,7.408613624715228,approach,14,14,2,16,28,3,accept_clearance,1,0,0
delay_blind,16,3,0,-0.1674607711240821,8.76265646093427,8.0,hold,24,28,0,26,38,4,waiting,0,0,0
delay_blind,16,4,1,5.099667110793792,5.006653346024693,8.0,hold,26,27,0,28,40,5,waiting,0,0,0
delay_blind,16,5,2,4.23734353906573,7.832539228875918,8.0,hold,28,34,0,30,42,6,waiting,0,0,0
delay_blind,16,6,0,4.993346653975306,1.099667110793792,8.0,hold,38,40,0,40,52,7,waiting,0,0,0
delay_blind,16,7,1,14.167460771124082,3.237343539065729,8.0,hold,40,45,0,42,54,8,waiting,0,0,0
delay_blind,17,0,0,7.961169429240699,6.802968795657251,6.620098457668865,approach,10,11,7,12,24,1,accept_clearance,1,0,0
delay_blind,17,1,1,12.687017692851446,10.053359867439982,7.802871208238409,approach,12,17,5,14,26,2,accept_clearance,1,0,0
delay_blind,17,2,2,6.115440693635011,16.363668054940202,7.211484832953637,approach,14,14,3,16,28,3,accept_clearance,1,0,0
delay_blind,17,3,0,-0.1674607711240821,8.76265646093427,8.0,hold,24,28,0,26,38,4,waiting,0,0,0
delay_blind,17,4,1,5.099667110793792,5.006653346024693,8.0,hold,26,27,0,28,40,5,waiting,0,0,0
delay_blind,17,5,2,4.23734353906573,7.832539228875918,8.0,hold,28,34,0,30,42,6,waiting,0,0,0
