policy,step,active_nodes,edge_count,mean_degree,max_degree,network_density,components,largest_component,algebraic_connectivity,triangles
delay_blind,176,8,7,1.75,2,0.25,3,3,3.0,2
delay_blind,177,8,7,1.75,2,0.25,3,3,3.0,2
delay_blind,178,8,7,1.75,2,0.25,3,3,3.0,2
delay_blind,179,8,7,1.75,2,0.25,3,3,3.0,2
queue_aware,0,0,0,0.0,0,0.0,0,0,0.0,0
queue_aware,1,0,0,0.0,0,0.0,0,0,0.0,0
queue_aware,2,0,0,0.0,0,0.0,0,0,0.0,0
queue_aware,3,0,0,0.0,0,0.0,0,0,0.0,0
queue_aware,4,0,0,0.0,0,0.0,0,0,0.0,0
queue_aware,5,0,0,0.0,0,0.0,0,0,0.0,0
queue_aware,6,0,0,0.0,0,0.0,0,0,0.0,0
queue_aware,7,0,0,0.0,0,0.0,0,0,0.0,0
queue_aware,8,0,0,0.0,0,0.0,0,0,0.0,0
queue_aware,9,0,0,0.0,0,0.0,0,0,0.0,0
queue_aware,10,0,0,0.0,0,0.0,0,0,0.0,0
queue_aware,11,1,0,0.0,0,0.0,1,1,0.0,0
queue_aware,12,1,0,0.0,0,0.0,1,1,0.0,0
queue_aware,13,1,0,0.0,0,0.0,1,1,0.0,0
queue_aware,14,2,0,0.0,0,0.0,2,1,0.0,0
queue_aware,15,2,0,0.0,0,0.0,2,1,0.0,0
queue_aware,16,2,0,0.0,0,0.0,2,1,0.0,0
queue_aware,17,2,0,0.0,0,0.0,2,1,0.0,0
queue_aware,18,2,0,0.0,0,0.0,2,1,0.0,0
queue_aware,19,2,0,0.0,0,0.0,2,1,0.0,0
queue_aware,20,2,0,0.0,0,0.0,2,1,0.0,0
queue_aware,21,2,0,0.0,0,0.0,2,1,0.0,0
queue_aware,22,2,0,0.0,0,0.0,2,1,0.0,0
queue_aware,23,2,0,0.0,0,0.0,2,1,0.0,0
queue_aware,24,2,0,0.0,0,0.0,2,1,0.0,0
queue_aware,25,2,0,0.0,0,0.0,2,1,0.0,0
queue_aware,26,2,0,0.0,0,0.0,2,1,0.0,0
queue_aware,27,3,0,0.0,0,0.0,3,1,0.0,0
queue_aware,28,3,0,0.0,0,0.0,3,1,0.0,0
queue_aware,29,3,0,0.0,0,0.0,3,1,0.0,0
queue_aware,30,3,0,0.0,0,0.0,3,1,0.0,0
queue_aware,31,3,0,0.0,0,0.0,3,1,0.0,0
queue_aware,32,3,0,0.0,0,0.0,3,1,0.0,0
queue_aware,33,3,0,0.0,0,0.0,3,1,0.0,0
queue_aware,34,3,0,0.0,0,0.0,3,1,0.0,0
queue_aware,35,3,0,0.0,0,0.0,3,1,0.0,0
queue_aware,36,3,0,0.0,0,0.0,3,1,0.0,0
queue_aware,37,3,0,0.0,0,0.0,3,1,0.0,0
queue_aware,38,3,0,0.0,0,0.0,3,1,0.0,0
queue_aware,39,3,0,0.0,0,0.0,3,1,0.0,0
queue_aware,40,4,0,0.0,0,0.0,4,1,0.0,0
queue_aware,41,4,0,0.0,0,0.0,4,1,0.0,0
queue_aware,42,4,0,0.0,0,0.0,4,1,0.0,0
queue_aware,43,4,0,0.0,0,0.0,4,1,0.0,0
queue_aware,44,4,0,0.0,0,0.0,4,1,0.0,0
queue_aware,45,4,0,0.0,0,0.0,4,1,0.0,0
queue_aware,46,4,0,0.0,0,0.0,4,1,0.0,0
queue_aware,47,4,0,0.0,0,0.0,4,1,0.0,0
queue_aware,48,4,0,0.0,0,0.0,4,1,0.0,0
queue_aware,49,4,0,0.0,0,0.0,4,1,0.0,0
queue_aware,50,4,0,0.0,0,0.0,4,1,0.0,0
queue_aware,51,4,0,0.0,0,0.0,4,1,0.0,0
queue_aware,52,4,0,0.0,0,0.0,4,1,0.0,0
queue_aware,53,4,0,0.0,0,0.0,4,1,0.0,0
queue_aware,54,4,0,0.0,0,0.0,4,1,0.0,0
queue_aware,55,4,0,0.0,0,0.0,4,1,0.0,0
queue_aware,56,4,0,0.0,0,0.0,4,1,0.0,0
queue_aware,57,4,0,0.0,0,0.0,4,1,0.0,0
queue_aware,58,4,0,0.0,0,0.0,4,1,0.0,0
queue_aware,59,4,0,0.0,0,0.0,4,1,0.0,0
queue_aware,60,4,0,0.0,0,0.0,4,1,0.0,0
queue_aware,61,4,0,0.0,0,0.0,4,1,0.0,0
queue_aware,62,4,0,0.0,0,0.0,4,1,0.0,0
queue_aware,63,4,0,0.0,0,0.0,4,1,0.0,0
queue_aware,64,4,0,0.0,0,0.0,4,1,0.0,0
queue_aware,65,4,1,0.5,1,0.16666666666666666,3,2,2.0,0
queue_aware,66,4,1,0.5,1,0.16666666666666666,3,2,2.0,0
queue_aware,67,4,1,0.5,1,0.16666666666666666,3,2,2.0,0
queue_aware,68,4,1,0.5,1,0.16666666666666666,3,2,2.0,0
queue_aware,69,4,1,0.5,1,0.16666666666666666,3,2,2.0,0
queue_aware,70,4,1,0.5,1,0.16666666666666666,3,2,2.0,0
queue_aware,71,4,1,0.5,1,0.16666666666666666,3,2,2.0,0
queue_aware,72,4,1,0.5,1,0.16666666666666666,3,2,2.0,0
queue_aware,73,4,1,0.5,1,0.16666666666666666,3,2,2.0,0
queue_aware,74,4,1,0.5,1,0.16666666666666666,3,2,2.0,0
queue_aware,75,4,1,0.5,1,0.16666666666666666,3,2,2.0,0
